国家コード	国名	英語名	地域	主機能	制度容量	同盟支援	エネルギー安全保障	食料安全保障	計算資源アクセス	半導体重要度	AI自動化影響	国内不安	戦争圧力	財政余力	日本波及係数	初期リスク段階	主な懸念	出典種別	根拠_歴史と国家特性
FRA	フランス	France	欧州	核抑止・EU制度・食料	80	74	66	84	76	42	72	48	30	74	36	圧力上昇	国内不満と欧州安全保障、財政制約が制度信頼の参照点になる	統計+専門家判断+仮定	欧州政治と安全保障の中核で、制度容量と社会不満の両方を持つ比較対象になる
TUR	トルコ	Turkiye	中東欧	仲介・海峡・地域安全保障	56	54	52	68	54	18	56	54	56	46	34	境界的圧力	黒海、中東、欧州の接点として緊張の増幅器にも緩衝器にもなる	専門家判断+仮定	NATO、黒海、中東の接点にあり、外交仲介と地域緊張の双方で世界圧力を変化させる
IDN	インドネシア	Indonesia	東南アジア	人口・資源・海上交通	48	50	74	76	48	18	58	40	24	42	44	平時	資源、人口市場、海上交通の安定が日本の生活コストに効く	統計+専門家判断+仮定	人口大国かつ資源国で、日本のエネルギー、鉱物、東南アジア市場への波及がある
VNM	ベトナム	Vietnam	東南アジア	製造移転・対中バランス	54	56	46	70	52	42	66	36	28	40	50	圧力上昇	中国依存分散の受け皿だが、南シナ海リスクも持つ	統計+専門家判断+仮定	製造移転先として日本企業に近く、供給網分散と南シナ海リスクの両面で効く
PHL	フィリピン	Philippines	東南アジア	海洋安全保障・労働移動	46	72	38	62	42	16	54	46	42	34	48	境界的圧力	南シナ海の緊張と労働移動が日本社会へ波及する	統計+専門家判断+仮定	米国同盟、南シナ海、在外労働者ネットワークにより、日本の安全保障とケア労働議論に関わる
THA	タイ	Thailand	東南アジア	製造・観光・地域供給網	58	52	42	72	50	34	58	44	18	46	34	平時	自動車・観光・地域供給網の景気変動が日本企業へ効く	統計+専門家判断+仮定	日本企業集積が大きく、東南アジア景気と供給網の安定度を映す
MYS	マレーシア	Malaysia	東南アジア	半導体後工程・エネルギー	62	58	72	68	60	72	62	36	20	54	42	平時	半導体後工程とLNG供給が日本の産業継続性に効く	統計+専門家判断+仮定	半導体後工程とエネルギー供給の両方で、日本の計算資源制約と生活コストに関係する
SGP	シンガポール	Singapore	東南アジア	金融・物流・AI拠点	88	70	54	48	86	62	78	24	18	90	40	平時	金融・物流・AI規制の安定拠点として地域不安を緩衝する	統計+専門家判断+仮定	都市国家ながら物流、金融、データセンター、AI政策拠点として地域圧力の結節点になる
BRA	ブラジル	Brazil	南米	食料・資源・新興国景気	50	42	76	94	42	14	52	48	18	38	26	平時	食料価格、資源価格、新興国景気を通じて間接波及する	統計+専門家判断+仮定	食料と資源の大国として、物価・地球環境・新興国景気の方向性を通じて日本に効く
MEX	メキシコ	Mexico	北米	北米製造・米国政治連動	46	54	58	72	48	32	60	56	26	34	24	圧力上昇	北米供給網と米国政治の連動が世界製造観に影響する	統計+専門家判断+仮定	米国市場と製造供給網に深く結びつき、北米再編と移民政治を通じて世界景気観に効く
ARE	アラブ首長国連邦	United Arab Emirates	中東	エネルギー・金融・AI投資	72	66	92	30	78	24	70	24	28	86	46	平時	AI投資とエネルギー金融が中東不安の緩衝材になる	専門家判断+仮定	エネルギー、金融、AI投資の結節点で、日本のエネルギー価格とAI投資環境に間接波及する
QAT	カタール	Qatar	中東	LNG・外交仲介	68	62	96	24	60	12	44	22	28	88	54	平時	LNG供給と仲介外交が日本のエネルギー不安を左右する	統計+専門家判断+仮定	LNG輸出と外交仲介の存在感が、日本の電力価格と中東危機時の緩衝に効く
EGY	エジプト	Egypt	中東・北アフリカ	スエズ運河・地域安定	42	50	44	58	36	10	42	58	44	32	38	圧力上昇	スエズ運河と食料・財政不安が物流リスクを高める	専門家判断+仮定	スエズ運河という物流結節点を持ち、地域不安が供給網と物価不安に波及しやすい
