国家コード	国名	国家構造の存続	領域安全保障	政権制度正統性	経済再生産	戦略的自律性	同盟抑止信頼	社会安定	技術主権	構造持続余力	目的関数メモ	重み出典種別	重み根拠_歴史と国家特性
SAU	サウジアラビア	1.00	0.70	0.84	0.92	0.76	0.68	0.82	0.46	0.76	原油収益、体制安定、改革路線の両立が目的。	専門家判断+仮定	原油収益国家としての政策裁量と改革過程を反映
IND	インド	1.00	0.76	0.80	0.92	0.86	0.58	0.82	0.68	0.78	成長・人口雇用・戦略自律が強く、AI労働市場が重要。	専門家判断+仮定	人口規模と戦略的自律外交の継続を反映
EU	欧州連合	1.00	0.68	0.78	0.84	0.72	0.82	0.82	0.82	0.88	制度正統性、規制、ウクライナ支援、景気維持の合意形成が制約。	専門家判断+仮定	統合体としての合意形成コストと規制主導を反映
GBR	英国	1.00	0.78	0.74	0.80	0.82	0.88	0.72	0.84	0.74	金融、AI安全保障、英米連携で影響力を保つ。	専門家判断+仮定	金融センターと安全保障外交の継続性を反映
AUS	オーストラリア	1.00	0.78	0.72	0.82	0.76	0.90	0.76	0.62	0.82	資源供給、食料、同盟抑止を安定的に維持する。	専門家判断+仮定	資源国かつ同盟国としての緩衝機能を反映
CAN	カナダ	1.00	0.66	0.74	0.82	0.70	0.86	0.78	0.64	0.84	資源、人材、北米供給網を安定させる。	専門家判断+仮定	資源国、移民国家、北米経済圏の安定性を反映
DEU	ドイツ	1.00	0.62	0.76	0.92	0.68	0.78	0.80	0.78	0.82	製造業再生、エネルギー転換、EU合意形成が中心。	専門家判断+仮定	輸出製造業とエネルギー制約の歴史的重みを反映
FRA	フランス	1.00	0.78	0.82	0.82	0.82	0.76	0.78	0.72	0.82	制度正統性、欧州主導、安全保障自律を重視する。	専門家判断+仮定	欧州政治と核抑止を持つ国家特性を反映
TUR	トルコ	1.00	0.84	0.84	0.72	0.90	0.56	0.78	0.56	0.62	海峡、地域仲介、国内安定、戦略自律が強い。	専門家判断+仮定	地政学的結節点としての自律外交を反映
IDN	インドネシア	1.00	0.66	0.76	0.84	0.76	0.54	0.78	0.48	0.72	人口市場、資源、海上交通の安定を重視する。	専門家判断+仮定	島嶼国家、資源、人口規模を反映
VNM	ベトナム	1.00	0.78	0.82	0.86	0.82	0.52	0.78	0.62	0.70	製造移転、対中バランス、雇用吸収を重視する。	専門家判断+仮定	製造供給網と地政学バランスを反映
PHL	フィリピン	1.00	0.84	0.74	0.74	0.70	0.84	0.76	0.44	0.64	海洋安全保障、労働移動、国内生活安定が重要。	専門家判断+仮定	南シナ海と海外労働者ネットワークを反映
THA	タイ	1.00	0.58	0.76	0.82	0.66	0.56	0.82	0.54	0.74	観光、製造、政治安定の維持が中心。	専門家判断+仮定	日本企業集積と観光依存を反映
MYS	マレーシア	1.00	0.62	0.74	0.84	0.70	0.60	0.78	0.74	0.76	半導体後工程、エネルギー、民族間安定を重視する。	専門家判断+仮定	半導体供給網とLNG供給を反映
SGP	シンガポール	1.00	0.62	0.82	0.94	0.78	0.68	0.86	0.86	0.92	物流・金融・AI拠点として制度信頼を維持する。	専門家判断+仮定	都市国家の高制度容量と地域結節性を反映
BRA	ブラジル	1.00	0.54	0.74	0.82	0.72	0.42	0.76	0.42	0.70	食料・資源・国内格差管理が中心。	専門家判断+仮定	資源食料大国と国内格差の両面を反映
MEX	メキシコ	1.00	0.58	0.74	0.82	0.62	0.62	0.72	0.48	0.62	北米供給網と国内治安・雇用の両立が中心。	専門家判断+仮定	米国市場との結合と国内不安を反映
ARE	アラブ首長国連邦	1.00	0.64	0.82	0.92	0.78	0.66	0.86	0.78	0.88	エネルギー、金融、AI投資を使い地域安定性を高める。	専門家判断+仮定	資源収益と投資国家としての戦略を反映
QAT	カタール	1.00	0.62	0.80	0.90	0.76	0.62	0.84	0.44	0.86	LNG供給、仲介外交、財政余力を維持する。	専門家判断+仮定	LNG輸出と外交仲介機能を反映
EGY	エジプト	1.00	0.72	0.84	0.68	0.72	0.54	0.76	0.36	0.54	スエズ運河、食料、財政、国内安定を守る。	専門家判断+仮定	物流結節点と国内生活圧力を反映
