step	表示期間	相対年	単位	期間幅_年	本番フェーズ	説明
49	5年目1か月	4.08	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
50	5年目2か月	4.17	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
51	5年目3か月	4.25	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
52	5年目4か月	4.33	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
53	5年目5か月	4.42	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
54	5年目6か月	4.50	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
55	5年目7か月	4.58	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
56	5年目8か月	4.67	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
57	5年目9か月	4.75	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
58	5年目10か月	4.83	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
59	5年目11か月	4.92	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
60	5年目12か月	5.00	月	0.083	直近5年_月次	直近の心理・雇用・制度反応を細かく観測する期間
61	6年目	6.00	年	1.000	次の5年_年次	制度再編と社会反応の中期定着を観測する期間
62	7年目	7.00	年	1.000	次の5年_年次	制度再編と社会反応の中期定着を観測する期間
63	8年目	8.00	年	1.000	次の5年_年次	制度再編と社会反応の中期定着を観測する期間
64	9年目	9.00	年	1.000	次の5年_年次	制度再編と社会反応の中期定着を観測する期間
65	10年目	10.00	年	1.000	次の5年_年次	制度再編と社会反応の中期定着を観測する期間
66	15年目	15.00	5年	5.000	40年観測_5年単位	今の若者・子どもが家族形成期へ向かう長期変化を観測する期間
67	20年目	20.00	5年	5.000	40年観測_5年単位	今の若者・子どもが家族形成期へ向かう長期変化を観測する期間
68	25年目	25.00	5年	5.000	40年観測_5年単位	今の若者・子どもが家族形成期へ向かう長期変化を観測する期間
69	30年目	30.00	5年	5.000	40年観測_5年単位	今の若者・子どもが家族形成期へ向かう長期変化を観測する期間
70	35年目	35.00	5年	5.000	40年観測_5年単位	今の若者・子どもが家族形成期へ向かう長期変化を観測する期間
71	40年目	40.00	5年	5.000	40年観測_5年単位	今の若者・子どもが家族形成期へ向かう長期変化を観測する期間
