event_id	start_step	end_step	event_type	timeline_type	label	module_id	participant_ids	related_object_id	related_conflict_id	intensity	direction	description
REPD04	35	38	repair	repair	資源スコアの圧の修復	common_area	ISS00;ISS08		CONF04	0.18	距離再調整↑ 継続観察↑	確認テンプレートを使い、資源表示を個人評価ではなく共同運用として扱うかを短く確認する。
CONF05	42	43	conflict	conflict	運動枠の順番	exercise_area	ISS06;ISS08			0.5	順番摩擦↑ 会話短縮↑	身体ルーティンを守りたい人と、運動枠を逃したくない人の希望が重なる。
REPD05	44	47	repair	repair	運動枠の順番の修復	exercise_area	ISS06;ISS08		CONF05	0.17	距離再調整↑ 継続観察↑	確認テンプレートを使い、運動枠の前後に何を確認するかを短く決める。
CONF13	49	50	conflict	conflict	食事準備の遠慮	common_area	ISS13;ISS15			0.42	遠慮↑ 分担摩擦↑	Sitiが食事準備を引き受けすぎ、Amaraの速い提案が休む余地を狭めるように伝わる。
REPD13	51	53	repair	repair	食事準備の遠慮の修復	common_area	ISS13;ISS15		CONF13	0.15	距離再調整↑ 継続観察↑	確認テンプレートを使い、本人が休む選択を持てるように分担を短く確認する。
CONF06	52	53	conflict	conflict	規律と自律	common_area	ISS18;ISS08			0.62	命令感↑ 反発↑	規律を重んじる声かけが、評価に敏感な相手には命令として響く。
REPD06	54	58	repair	repair	規律と自律の修復	common_area	ISS18;ISS08		CONF06	0.18	距離再調整↑ 継続観察↑	確認テンプレートを使い、ルールの目的と本人が決める余地を短く確認する。
CONF11	60	61	conflict	conflict	技術説明の距離	common_area	ISS10;ISS12			0.48	説明過多↑ 置いていかれ感↑	Raviの善意ある技術説明が、Tariqには抽象的で急ぎすぎる説明として伝わる。
BASE04	61	80	baseline	baseline	後半再調整					0.5	修復機会↑ 気遣い疲れ↑	共同ルールと休息配分を見直し、修復できる関係と固定化する距離が分かれる。
REPD11	62	65	repair	repair	技術説明の距離の修復	common_area	ISS10;ISS12		CONF11	0.16	距離再調整↑ 継続観察↑	確認テンプレートを使い、説明を短い手順に分けて確認する。
CONF07	64	65	conflict	conflict	文字ルールの置き去り	common_area	ISS12;ISS17			0.55	疎外感↑ 説明摩擦↑	数値や文字で整理する運用が、文字に慣れない人には置き去りとして伝わる。
REPD07	66	70	repair	repair	文字ルールの置き去りの修復	common_area	ISS12;ISS17		CONF07	0.17	距離再調整↑ 継続観察↑	確認テンプレートを使い、数値だけでなく実物と手順で確認する。
CONF08	73	74	conflict	conflict	ケア役の偏り	common_area	ISS16;ISS14			0.54	援助疲れ↑ 役割固定↑	支える人が支えられる側になれず、励ましの言葉が負担として響く。
REPD08	75	78	repair	repair	ケア役の偏りの修復	common_area	ISS16;ISS14		CONF08	0.17	距離再調整↑ 継続観察↑	確認テンプレートを使い、支援を一人に集めない分担を短く確認する。
BASE05	81	100	baseline	baseline	帰還準備					0.65	緊張↑ 意味づけ↑	帰還が近づき、別れ・評価・地上復帰への不安と感謝が同時に強まる。
CONF12	82	83	conflict	conflict	援助の受け取り	common_area	ISS19;ISS15			0.45	助けたい気持ち↑ 拒否感↑	Karimの静かな援助が、Amaraには自分で立て直す余地を狭める関わりとして伝わる。
CONF09	84	85	conflict	conflict	発信速度の圧	common_area	ISS15;ISS11			0.5	置いていかれ感↑ 回避↑	明るく速い発信が、役割喪失に敏感な相手には圧として伝わる。
REPD12	84	87	repair	repair	援助の受け取りの修復	common_area	ISS19;ISS15		CONF12	0.15	距離再調整↑ 継続観察↑	確認テンプレートを使い、助け方を先に尋ねる形に変えられるかを短く確認する。
REPD09	86	89	repair	repair	発信速度の圧の修復	common_area	ISS15;ISS11		CONF09	0.16	距離再調整↑ 継続観察↑	確認テンプレートを使い、相手が返せる速度と役割依頼の出し方を短く確認する。
CONF10	91	92	conflict	conflict	帰還前の助言	cupola	ISS08;ISS09			0.7	押しつけ感↑ 言い合い↑	年長者の助言が、緊張している相手には押しつけに聞こえる。
REPD10	93	98	repair	repair	帰還前の助言の修復	cupola	ISS08;ISS09		CONF10	0.2	距離再調整↑ 継続観察↑	確認テンプレートを使い、助言ではなく経験共有として話せるかを短く確認する。
