event_id	start_step	end_step	event_type	event_name	intensity	target	direction	description
REM01	51	55	baseline	ナッジ撤去直後	0.58	全員	物理手がかり↓ 自発ルール確認↑	持ち寄り棚・OKサイン・個室聖域マーク・スコアボード・移動投票パネルを撤去し、作法だけで同じ調整が続くかを見る。
CCONF01	53	53	conflict	持ち寄り棚なき声量摩擦	0.50	ISS07;ISS02	手がかり喪失↑ すれ違い再燃↑	棚がなくなった後、共用部で声量と休息サインの読み取りが再びずれる。
CREP01	54	55	repair	声量ルールの自発再現	0.20	ISS07;ISS02	記憶共有なし修復↑ 距離再調整↑	物理的な持ち寄り棚はないが、以前の棚前の約束を思い出して声量と滞在位置を自分たちで調整する。
BASE06	56	65	baseline	文化化の試行	0.52	全員	暗黙ルール↑ 道具依存↓	ナッジが消えた後、言い方・座る位置・声の大きさを人同士で引き継げるかを観察する。
CCONF02	61	61	conflict	OKサイン撤去後のキューポラ境界	0.63	ISS03;ISS09	声かけ判断負荷↑ 孤立反応↑	話しかけてOKサインがないため、キューポラで声をかけてよいかの判断が曖昧になり摩擦が起きる。
CREP02	62	64	repair	言葉だけのOKサイン	0.22	ISS03;ISS09	声かけ許可の言語化↑ 警戒低下↑	サインなしでも「今日は話しかけてよい/よくない」を短い言葉で確認する運用を二人で作る。
CCONF03	68	68	conflict	聖域マーク撤去後の個室待ち	0.65	ISS02;ISS05	プライバシー境界曖昧化↑ 言い合い↑	個室聖域マークがなくなり、一人時間を守る合図が曖昧になって個室前で言い合いが起きる。
CREP03	69	70	repair	個室聖域の口頭運用	0.23	ISS02;ISS05	一人時間尊重↑ 順番調整↑	マークなしでも、終了予定と声かけ禁止の時間帯を短いメモと言葉で共有する。
BASE07	66	75	baseline	道具なき運用	0.56	全員	自発調整↑ 失敗学習↑	ナッジがない状態で、誰が暗黙ルールを覚え、誰が忘れるかが見え始める。
CCONF04	76	77	conflict	スコアボード撤去後の資源疑心	0.57	ISS00;ISS08	共同達成の不可視化↑ 責められ感↑	リソース・スコアボードが消え、資源節約が見えなくなったことで、誰が多く使ったのかという疑心が戻る。
CREP04	78	80	repair	チーム記録の口頭化	0.21	ISS00;ISS08	共同達成の言語化↑ 責任分散↑	スコアボードの代わりに、個人名ではなくチーム単位の短い口頭記録として残量を扱う。
BASE08	81	92	baseline	帰還前の文化確認	0.62	全員	文化定着検証↑ 緊張↑	帰還前の不安が高まる中で、物理ナッジなしの作法が緊張下でも維持されるかを確認する。
CCONF05	84	84	conflict	移動投票パネル撤去後の運動枠	0.51	ISS06;ISS08	移動理由喪失↑ 順番摩擦↑	移動投票パネルがなくなり、運動前後に自然に出会う理由が減って順番調整が遅れる。
CREP05	85	87	repair	運動前の自発チェックイン	0.20	ISS06;ISS08	移動理由の自作↑ 順番合意↑	パネルなしでも、運動前に一言だけ順番を確認する習慣を二人で再開する。
CCONF06	93	93	conflict	帰還前の助言の再燃	0.68	ISS08;ISS09	押しつけ感↑ 評価不安↑	物理的な経験共有の棚がない状態で、帰還前の助言がまた押しつけに聞こえる。
CREP06	94	96	repair	経験共有の作法が残る	0.24	ISS08;ISS09	経験共有↑ 謝意回復↑	棚はないが、以前に作った「助言ではなく自分の経験として話す」作法を思い出して修復する。
CULT01	97	100	baseline	文化の持ち帰り	0.40	全員	自発ルール定着↑ 次環境への転用↑	ナッジ撤去後も残った声かけ許可、一人時間尊重、資源のチーム語りを、帰還後にも持ち帰れる文化として整理する。
