event_id	start_step	end_step	event_type	event_name	intensity	target	direction	description
REPE04	35	38	repair	資源スコアの圧の修復	0.18	ISS00;ISS08	距離再調整↑ 継続観察↑	リソース・スコアボードを使い、資源表示を個人評価ではなく共同運用として扱うかを短く確認する。
CONF05	42	43	conflict	運動枠の順番	0.5	ISS06;ISS08	順番摩擦↑ 会話短縮↑	身体ルーティンを守りたい人と、運動枠を逃したくない人の希望が重なる。
REPE05	44	47	repair	運動枠の順番の修復	0.17	ISS06;ISS08	距離再調整↑ 継続観察↑	移動投票パネルを使い、運動枠の前後に何を確認するかを短く決める。
CONF13	49	50	conflict	食事準備の遠慮	0.42	ISS13;ISS15	遠慮↑ 分担摩擦↑	Sitiが食事準備を引き受けすぎ、Amaraの速い提案が休む余地を狭めるように伝わる。
OBSE13	51	53	followup	食事準備の遠慮の追跡観測	0.05	ISS13;ISS15	余韻観察↑ 距離測定↑	食事準備の遠慮のあと、同じ作業圏で短い再接触が起きるかを観測する。会話の成否は指定しない。
CONF06	52	53	conflict	規律と自律	0.62	ISS18;ISS08	命令感↑ 反発↑	規律を重んじる声かけが、評価に敏感な相手には命令として響く。
OBSE06	54	58	followup	規律と自律の追跡観測	0.05	ISS18;ISS08	余韻観察↑ 距離測定↑	規律と自律の衝突のあと、同じ作業手順で再接触が起きるかを観測する。会話の成否は指定しない。
CONF11	60	61	conflict	技術説明の距離	0.44	ISS10;ISS12	説明過多↑ 置いていかれ感↑	Raviの善意ある技術説明が、Tariqには抽象的で急ぎすぎる説明として伝わる。
BASE04	61	80	baseline	後半再調整	0.5	全員	距離測定↑ 気遣い疲れ↑	共同ルールと休息配分を見直し、近づける関係と固定化する距離が分かれる。
OBSE11	62	65	followup	技術説明の距離の追跡観測	0.05	ISS10;ISS12	余韻観察↑ 距離測定↑	技術説明の行き違いのあと、短い手順確認や回避がどう出るかを観測する。会話の成否は指定しない。
CONF07	64	65	conflict	文字ルールの置き去り	0.55	ISS12;ISS17	疎外感↑ 説明摩擦↑	数値や文字で整理する運用が、文字に慣れない人には置き去りとして伝わる。
OBSE07	66	70	followup	文字ルールの置き去りの追跡観測	0.05	ISS12;ISS17	余韻観察↑ 距離測定↑	文字ルールの置き去りのあと、作業確認や沈黙がどう出るかを観測する。会話の成否は指定しない。
CONF08	73	74	conflict	ケア役の偏り	0.54	ISS16;ISS14	援助疲れ↑ 役割固定↑	支える人が支えられる側になれず、励ましの言葉が負担として響く。
OBSE08	75	78	followup	ケア役の偏りの追跡観測	0.05	ISS16;ISS14	余韻観察↑ 距離測定↑	ケア役の偏りのあと、支援依頼や回避がどう出るかを観測する。会話の成否は指定しない。
BASE05	81	100	baseline	帰還準備	0.65	全員	緊張↑ 意味づけ↑	帰還が近づき、別れ・評価・地上復帰への不安と感謝が同時に強まる。
CONF12	82	83	conflict	援助の受け取り	0.45	ISS19;ISS15	助けたい気持ち↑ 拒否感↑	Karimの静かな援助が、Amaraには自分で立て直す余地を狭める関わりとして伝わる。
OBSE12	84	87	followup	援助の受け取りの追跡観測	0.05	ISS19;ISS15	余韻観察↑ 距離測定↑	援助の受け取りのあと、次の接触が短くなるか遠ざかるかを観測する。会話の成否は指定しない。
CONF09	84	85	conflict	発信速度の圧	0.5	ISS15;ISS11	置いていかれ感↑ 回避↑	明るく速い発信が、役割喪失に敏感な相手には圧として伝わる。
OBSE09	86	89	followup	発信速度の圧の追跡観測	0.05	ISS15;ISS11	余韻観察↑ 距離測定↑	発信速度の圧のあと、役割依頼や応答の速さがどう変わるかを観測する。会話の成否は指定しない。
CONF10	91	92	conflict	帰還前の助言	0.7	ISS08;ISS09	押しつけ感↑ 言い合い↑	年長者の助言が、緊張している相手には押しつけに聞こえる。
OBSE10	93	98	followup	帰還前の助言の追跡観測	0.05	ISS08;ISS09	余韻観察↑ 距離測定↑	帰還前の助言のあと、同じ二人が次にどの距離で話すかを観測する。会話の成否は指定しない。
