step	label	relative_year	unit	duration_years	phase	quiet_hours	shared_meal_time	private_room_priority	description
39	ISS滞在 Day39	0.10	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での後半回復観測
40	ISS滞在 Day40	0.10	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05]	ISS閉鎖空間での後半回復観測
41	ISS滞在 Day41	0.10	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08]	ISS閉鎖空間での帰還準備観測
42	ISS滞在 Day42	0.11	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での帰還準備観測
43	ISS滞在 Day43	0.11	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05]	ISS閉鎖空間での帰還準備観測
44	ISS滞在 Day44	0.11	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08]	ISS閉鎖空間での帰還準備観測
45	ISS滞在 Day45	0.11	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での帰還準備観測
46	ISS滞在 Day46	0.12	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05]	ISS閉鎖空間での帰還準備観測
47	ISS滞在 Day47	0.12	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08]	ISS閉鎖空間での帰還準備観測
48	ISS滞在 Day48	0.12	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での帰還準備観測
49	ISS滞在 Day49	0.12	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05]	ISS閉鎖空間での帰還準備観測
50	ISS滞在 Day50	0.13	日	0.003	ISS_50日観測	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08]	ISS閉鎖空間での帰還準備観測
