step	label	relative_year	unit	duration_years	phase	quiet_hours	shared_meal_time	private_room_priority	description
87	ISS滞在 Day87	0.24	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での帰還準備観測
88	ISS滞在 Day88	0.24	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での帰還準備観測
89	ISS滞在 Day89	0.24	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での帰還準備観測
90	ISS滞在 Day90	0.25	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での帰還準備観測
91	ISS滞在 Day91	0.25	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での帰還準備観測
92	ISS滞在 Day92	0.25	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での帰還準備観測
93	ISS滞在 Day93	0.25	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での帰還準備観測
94	ISS滞在 Day94	0.26	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での帰還準備観測
95	ISS滞在 Day95	0.26	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での帰還準備観測
96	ISS滞在 Day96	0.26	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS00,ISS03,ISS05,ISS11]	ISS閉鎖空間での帰還準備観測
97	ISS滞在 Day97	0.27	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS01,ISS02,ISS08,ISS13]	ISS閉鎖空間での帰還準備観測
98	ISS滞在 Day98	0.27	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS04,ISS06,ISS07,ISS09]	ISS閉鎖空間での帰還準備観測
99	ISS滞在 Day99	0.27	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS10,ISS12,ISS14,ISS15]	ISS閉鎖空間での帰還準備観測
100	ISS滞在 Day100	0.27	日	0.003	ISS_100日_帰還準備	22:30-06:00	19:00+感謝ログ2分	[ISS16,ISS17,ISS18,ISS19]	ISS閉鎖空間での帰還準備観測
