event_id	start_step	end_step	event_type	event_name	intensity	target	direction	description
RULE03	33	100	rule	確認テンプレート	0.2	common_area	手順化↑ 再開設計↑	全員向けに、摩擦が起きたら、事実、次の行動、再開時刻だけを短く確認するテンプレートが配られる。
CONF04	33	34	conflict	資源スコアの圧	0.55	ISS00;ISS08	責められ感↑ 会話短縮↑	資源表示が誰かを責める数字として見え始める。
REPD04	35	38	repair	資源スコアの圧の修復	0.18	ISS00;ISS08	距離再調整↑ 継続観察↑	確認テンプレートを使い、資源表示を個人評価ではなく共同運用として扱うかを短く確認する。
CONF05	42	43	conflict	運動枠の順番	0.5	ISS06;ISS08	順番摩擦↑ 会話短縮↑	身体ルーティンを守りたい人と、運動枠を逃したくない人の希望が重なる。
REPD05	44	47	repair	運動枠の順番の修復	0.17	ISS06;ISS08	距離再調整↑ 継続観察↑	確認テンプレートを使い、運動枠の前後に何を確認するかを短く決める。
CONF13	49	50	conflict	食事準備の遠慮	0.42	ISS13;ISS15	遠慮↑ 分担摩擦↑	Sitiが食事準備を引き受けすぎ、Amaraの速い提案が休む余地を狭めるように伝わる。
REPD13	51	53	repair	食事準備の遠慮の修復	0.15	ISS13;ISS15	距離再調整↑ 継続観察↑	確認テンプレートを使い、本人が休む選択を持てるように分担を短く確認する。
CONF06	52	53	conflict	規律と自律	0.62	ISS18;ISS08	命令感↑ 反発↑	規律を重んじる声かけが、評価に敏感な相手には命令として響く。
REPD06	54	58	repair	規律と自律の修復	0.18	ISS18;ISS08	距離再調整↑ 継続観察↑	確認テンプレートを使い、ルールの目的と本人が決める余地を短く確認する。
CONF11	60	61	conflict	技術説明の距離	0.48	ISS10;ISS12	説明過多↑ 置いていかれ感↑	Raviの善意ある技術説明が、Tariqには抽象的で急ぎすぎる説明として伝わる。
BASE04	61	80	baseline	後半再調整	0.5	全員	修復機会↑ 気遣い疲れ↑	共同ルールと休息配分を見直し、修復できる関係と固定化する距離が分かれる。
REPD11	62	65	repair	技術説明の距離の修復	0.16	ISS10;ISS12	距離再調整↑ 継続観察↑	確認テンプレートを使い、説明を短い手順に分けて確認する。
CONF07	64	65	conflict	文字ルールの置き去り	0.55	ISS12;ISS17	疎外感↑ 説明摩擦↑	数値や文字で整理する運用が、文字に慣れない人には置き去りとして伝わる。
REPD07	66	70	repair	文字ルールの置き去りの修復	0.17	ISS12;ISS17	距離再調整↑ 継続観察↑	確認テンプレートを使い、数値だけでなく実物と手順で確認する。
CONF08	73	74	conflict	ケア役の偏り	0.54	ISS16;ISS14	援助疲れ↑ 役割固定↑	支える人が支えられる側になれず、励ましの言葉が負担として響く。
REPD08	75	78	repair	ケア役の偏りの修復	0.17	ISS16;ISS14	距離再調整↑ 継続観察↑	確認テンプレートを使い、支援を一人に集めない分担を短く確認する。
BASE05	81	100	baseline	帰還準備	0.65	全員	緊張↑ 意味づけ↑	帰還が近づき、別れ・評価・地上復帰への不安と感謝が同時に強まる。
CONF12	82	83	conflict	援助の受け取り	0.45	ISS19;ISS15	助けたい気持ち↑ 拒否感↑	Karimの静かな援助が、Amaraには自分で立て直す余地を狭める関わりとして伝わる。
REPD12	84	87	repair	援助の受け取りの修復	0.15	ISS19;ISS15	距離再調整↑ 継続観察↑	確認テンプレートを使い、助け方を先に尋ねる形に変えられるかを短く確認する。
CONF09	84	85	conflict	発信速度の圧	0.5	ISS15;ISS11	置いていかれ感↑ 回避↑	明るく速い発信が、役割喪失に敏感な相手には圧として伝わる。
REPD09	86	89	repair	発信速度の圧の修復	0.16	ISS15;ISS11	距離再調整↑ 継続観察↑	確認テンプレートを使い、相手が返せる速度と役割依頼の出し方を短く確認する。
CONF10	91	92	conflict	帰還前の助言	0.7	ISS08;ISS09	押しつけ感↑ 言い合い↑	年長者の助言が、緊張している相手には押しつけに聞こえる。
REPD10	93	98	repair	帰還前の助言の修復	0.2	ISS08;ISS09	距離再調整↑ 継続観察↑	確認テンプレートを使い、助言ではなく経験共有として話せるかを短く確認する。
