event_id	start_step	end_step	event_type	timeline_type	label	module_id	participant_ids	related_object_id	related_conflict_id	intensity	direction	description
REM01	51	55	baseline	baseline	ナッジ撤去直後					0.58	物理手がかり↓ 自発ルール確認↑	持ち寄り棚・OKサイン・個室聖域マーク・スコアボード・移動投票パネルを撤去し、作法だけで同じ調整が続くかを見る。
CCONF01	53	53	conflict	conflict	持ち寄り棚なき声量摩擦	common_area	ISS07;ISS02	OBJ07		0.50	手がかり喪失↑ すれ違い再燃↑	棚がなくなった後、共用部で声量と休息サインの読み取りが再びずれる。
CREP01	54	55	repair	repair	声量ルールの自発再現	common_area	ISS07;ISS02	OBJ07	CCONF01	0.20	記憶共有なし修復↑ 距離再調整↑	物理的な持ち寄り棚はないが、以前の棚前の約束を思い出して声量と滞在位置を自分たちで調整する。
BASE06	56	65	baseline	baseline	文化化の試行					0.52	暗黙ルール↑ 道具依存↓	ナッジが消えた後、言い方・座る位置・声の大きさを人同士で引き継げるかを観察する。
CCONF02	61	61	conflict	conflict	OKサイン撤去後のキューポラ境界	cupola	ISS03;ISS09	OBJ06		0.63	声かけ判断負荷↑ 孤立反応↑	話しかけてOKサインがないため、キューポラで声をかけてよいかの判断が曖昧になり摩擦が起きる。
CREP02	62	64	repair	repair	言葉だけのOKサイン	common_area	ISS03;ISS09	OBJ06	CCONF02	0.22	声かけ許可の言語化↑ 警戒低下↑	サインなしでも「今日は話しかけてよい/よくない」を短い言葉で確認する運用を二人で作る。
BASE07	66	75	baseline	baseline	道具なき運用					0.56	自発調整↑ 失敗学習↑	ナッジがない状態で、誰が暗黙ルールを覚え、誰が忘れるかが見え始める。
CCONF03	68	68	conflict	conflict	聖域マーク撤去後の個室待ち	crew_quarters	ISS02;ISS05	OBJ09		0.65	プライバシー境界曖昧化↑ 言い合い↑	個室聖域マークがなくなり、一人時間を守る合図が曖昧になって個室前で言い合いが起きる。
CREP03	69	70	repair	repair	個室聖域の口頭運用	crew_quarters	ISS02;ISS05	OBJ09	CCONF03	0.23	一人時間尊重↑ 順番調整↑	マークなしでも、終了予定と声かけ禁止の時間帯を短いメモと言葉で共有する。
CCONF04	76	77	conflict	conflict	スコアボード撤去後の資源疑心	common_area	ISS00;ISS08	OBJ03		0.57	共同達成の不可視化↑ 責められ感↑	リソース・スコアボードが消え、資源節約が見えなくなったことで、誰が多く使ったのかという疑心が戻る。
CREP04	78	80	repair	repair	チーム記録の口頭化	common_area	ISS00;ISS08	OBJ03	CCONF04	0.21	共同達成の言語化↑ 責任分散↑	スコアボードの代わりに、個人名ではなくチーム単位の短い口頭記録として残量を扱う。
BASE08	81	92	baseline	baseline	帰還前の文化確認					0.62	文化定着検証↑ 緊張↑	帰還前の不安が高まる中で、物理ナッジなしの作法が緊張下でも維持されるかを確認する。
CCONF05	84	84	conflict	conflict	移動投票パネル撤去後の運動枠	exercise_area	ISS06;ISS08	OBJ10		0.51	移動理由喪失↑ 順番摩擦↑	移動投票パネルがなくなり、運動前後に自然に出会う理由が減って順番調整が遅れる。
CREP05	85	87	repair	repair	運動前の自発チェックイン	exercise_area	ISS06;ISS08	OBJ10	CCONF05	0.20	移動理由の自作↑ 順番合意↑	パネルなしでも、運動前に一言だけ順番を確認する習慣を二人で再開する。
CCONF06	93	93	conflict	conflict	帰還前の助言の再燃	cupola	ISS08;ISS09	OBJ07		0.68	押しつけ感↑ 評価不安↑	物理的な経験共有の棚がない状態で、帰還前の助言がまた押しつけに聞こえる。
CREP06	94	96	repair	repair	経験共有の作法が残る	common_area	ISS08;ISS09	OBJ07	CCONF06	0.24	経験共有↑ 謝意回復↑	棚はないが、以前に作った「助言ではなく自分の経験として話す」作法を思い出して修復する。
CULT01	97	100	baseline	baseline	文化の持ち帰り					0.40	自発ルール定着↑ 次環境への転用↑	ナッジ撤去後も残った声かけ許可、一人時間尊重、資源のチーム語りを、帰還後にも持ち帰れる文化として整理する。
